participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
52,baseline,420,1.7464160919189453e-5,1.00195,0.925131,0.074869,1
52,baseline,420,3.340244293212e-4,1.6609,0.961538,0.038462,1
52,baseline,420,1.084208488464e-4,0.73035,1,0,0
52,baseline,420,5.573034286499024e-5,1.562525,0.939818,0.060182,1
52,baseline,724,8.684396743774414e-5,0.5777749999999999,0.869971,0.130029,1
52,baseline,724,0.1895751953125,1.117425,0.89,0.11,1
52,baseline,724,8.189678192138672e-5,0.6154999999999999,0.92,0.08,1
52,baseline,724,3.165006637573242e-5,0.3717499999999999,0.875912,0.124088,1
52,baseline,320,6.538629531860352e-5,1.148225,0.8928,0.1072,1
52,baseline,320,1.013875007629e-4,0.803825,0.9216,0.0784,1
52,baseline,320,1.940727233886e-4,0.547475,1,0,0
52,baseline,320,0.7236328125,1.1776,1,0,0
52,baseline,320,0.031219482421875,1.210925,0.798686,0.201314,1
52,baseline,309,-0,2.613525,0.840982,0.159018,1
52,baseline,309,7.277727127075195e-5,1.555675,0.8464,0.1536,1
52,baseline,309,0.011810302734375,0.95375,1,0,0
52,baseline,309,5.722045898437e-4,1.20555,0.943396,0.056604,1
52,baseline,642,0.0098724365234375,2.120375,0.8526,0.1474,1
52,baseline,642,0.033233642578125,1.495475,1,0,0
52,baseline,642,0.0020465850830078,1.10475,0.8463,0.1537,1
52,baseline,642,5.9723854064941406e-5,0.411275,0.91,0.09,1
52,baseline,642,0.001896858215332,0.5946250000000001,0.7921,0.2079,1
52,baseline,642,0.0269775390625,4.153575,0.724638,0.275362,1
52,baseline,539,0.0034751892089843,0.890625,0.816981,0.183019,1
52,baseline,539,0.0021038055419921,1.100825,0.667317,0.332683,1
52,baseline,539,0.0044479370117187,1.211775,0.930025,0.069975,1
52,baseline,539,5.322694778442383e-5,0.835675,1,0,0
52,baseline,539,0.0014495849609375,0.8473,0.919956,0.080044,1
52,baseline,539,0.2291259765625,1.02015,1,0,0
52,baseline,539,0.058013916015625,1.021125,1,0,0
52,baseline,539,0.60791015625,1.109975,0.929934,0.070066,1
52,baseline,702,0.0107192993164062,0.5763,0.884836,0.115164,1
52,baseline,702,0.0026683807373046,0.85665,0.809794,0.190206,1
52,baseline,702,1.1801719665527344e-5,0.48505,0.913894,0.086106,1
12,baseline,639,0.0010366439819335,2.23365,0.956834,0.043166,1
12,baseline,639,1.2218952178955078e-5,1.738525,0.729775,0.270225,1
12,baseline,639,7.643699645996e-4,1.062975,0.892405,0.107595,1
12,baseline,639,0.1317138671875,1.232525,1,0,0
12,baseline,639,5.573034286499024e-5,0.6491750000000001,1,0,0
12,baseline,639,4.971027374267578e-5,0.8912249999999999,0.921681,0.078319,1
12,baseline,639,0.009918212890625,0.730925,0.958549,0.041451,1
12,baseline,639,0.0426025390625,1.175775,1,0,0
12,baseline,402,0.0048103332519531,1.058475,0.930018,0.069982,1
12,baseline,402,3.85046005249e-4,0.7979999999999999,0.969985,0.030015,1
12,baseline,402,0.89013671875,1.303475,0.847271,0.152729,1
12,baseline,402,0.495361328125,1.6543,0.939758,0.060242,1
12,baseline,279,4.738569259643555e-5,1.25975,0.86152,0.13848,1
12,baseline,279,2.322196960449e-4,1.216175,0.914167,0.085833,1
12,baseline,279,0.019256591796875,1.1272,0.999874,1.26e-4,0
12,baseline,279,0.10089111328125,0.961925,0.999817,1.83e-4,0
12,baseline,279,0.76953125,1.5559,0.999939,6.1e-5,0
12,baseline,279,0.0093917846679687,0.8681500000000001,0.901734,0.098266,1
